id,brand,model,serial,imei,provider,mobileNumber,amount,effectivityPlan,remarks,assetStatus,byUser,lastChanged,subscriptionStatus,type,assetCondition,country
,Samsung,Samsung A6 Plus,,356472094110872,SMART,9989591108,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092799249,SMART,9989594364,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 8,,356766086429897,SMART,9989726574,500 - Sim Only,2020-12-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090795512,SMART,9989592870,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,SIM ONLY,SIM ONLY,,,SMART,9199127895,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Samsung,Samsung A6,,359115090791388,SMART,9989590781,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090642565,SMART,9209814473,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,RF8K622XMQH,359115090789291,SMART,9989709231,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092746299,SMART,9989588683,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,SIM ONLY,SIM ONLY,,,Globe,9175012120,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,Globe,9175111437,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,4181580110011510,,Globe,9178076825,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,318151041530532,SMART,9399373120,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Samsung,Samsung A6,,359115090273429,SMART,9989585106,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 7,,353806086883850,SMART,9992291587,500 - Sim Only,2021-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091167909,SMART,9985618827,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6 Plus,F2LNX19MG5QR,354442069117097,SMART,9989590181,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092494981,SMART,9989585323,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090351118,SMART,9989587637,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094110914,SMART,9989646126,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472074108876,SMART,9989566811,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,SIM ONLY,SIM ONLY,,,SMART,9988567089,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,SMART,9988569798,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Samsung,Samsung J2 Core,,359063090293130,SMART,9989591789,500 - Sim Only,2020-09-01,Samsung J2 Core,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099096520,SMART,9989591922,500 - Sim Only,,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099100363,SMART,9189296504,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,SIM ONLY,,,SMART,9199126691,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Samsung,Samsung A6 Plus,,356472094110351,SMART,9989589872,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094113389,SMART,9989591064,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099099912,SMART,9989566784,500 - Sim Only,2020-09-01,,In Stock,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090354153,SMART,9988567105,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A10,,359313100526076,SMART,9988567142,500 - Sim Only,2021-06-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,SIM ONLY,SIM ONLY,,,SMART,9989587629,500 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Samsung,Samsung A6 Plus,,356472094114221,SMART,9209814472,500 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098499154,SMART,9989646127,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,359115090348965,SMART,9189304041,1000 - Sim Only,2020-09-01,9989589413 to,In Stock,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A10,,359313100828221,SMART,9209815513,500 - Sim Only,2021-06-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098498222,SMART,9988567084,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,SIM ONLY,SIM ONLY,4181580110011340,,Globe,9175840592,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,Globe,9175840593,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,Globe,9175840594,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,Globe,9175840595,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,Globe,9175840596,Php300.00,RETAIN,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,SMART,9989633263,300 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,SMART,9989633264,300 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,SMART,9989633265,300 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,SIM ONLY,SIM ONLY,,,SMART,9989633268,300 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,SIM ONLY,,PH
,Apple,Iphone 6 Plus,,352048079086230,SMART,9989636934,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,R58K651DMGE,357161099097098,SMART,9985899567,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090272199,SMART,9988567054,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092546723,SMART,9199127908,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 8,,356766086217870,SMART,9989587728,500 - Sim Only,2020-12-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111326,SMART,9985899566,500 - Sim Only,2020-10-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A5,,357161099101056,SMART,9985866382,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094110336,SMART,9199127907,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090642979,SMART,9989646132,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,RF8K619SNNW,359115090347579,SMART,9988567075,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090235246,SMART,9199127881,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111813,SMART,9989587848,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090349088,SMART,9988567090,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090789093,SMART,9989741101,1000 - Sim Only,2020-09-01,Transferred to employee ownership,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472095400652,SMART,9989585021,500 - Sim Only,2020-10-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,35520395316303,SMART,9989587638,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094112589,SMART,9989633266,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,357931099646734,SMART,9989584879,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,R58K62TBK5H,356472094109239,SMART,9189305949,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090352330,SMART,9989587844,1000 - Sim Only,2018-07-29,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098157463,SMART,9988567038,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090273544,SMART,9989636933,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090350672,SMART,9988567104,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094112829,SMART,9285247357,500 - Sim Only,2020-09-01,old number 9989646905 ,In Stock,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091175647,SMART,9985600897 to 9189903362,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 7,,,SMART,9985842726,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090236251,SMART,9988567080,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,359063090293015,SMART,9989567159,500 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,359063090293031,SMART,9989588646,500 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098158164,SMART,9988567042,500 - Sim Only,2020-09-01,,In Stock,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090235030,SMART,9988567121,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,359063090292876,SMART,9989566808,500 - Sim Only,2020-11-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099097114,SMART,9989589032,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090346803,SMART,9989566926,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099098310,,,,,,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung A6,,359115090791172,SMART,9989593209,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111557,SMART,9988567144,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111565,SMART,9989591974,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090271118,SMART,9989584739,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098157455,SMART,9189304068,500 - Sim Only,2020-09-01,old number9988567040 ,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 8,FFMYGTH1JC67,358708094401573,SMART,9479939085,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094111524,SMART,9989591927,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099099920,SMART,9988567004,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091176991,SMART,9285047478,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,356472094112795,SMART,9988567107,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090274955,SMART,9989588680,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472093718329,SMART,9989589897,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 8,c8pyhxs2jc67,358711094284585,SMART,9985866388,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091181413,SMART,9988567149,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,35647209,SMART,9209189076,500 - Sim Only,2021-09-01,service unit for her defective iphone,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090236137,SMART,9988567100,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098157893,SMART,9988567037,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091177346,SMART,9989566807,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091191321,SMART,9989636932,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 7,,353842082677855,SMART,9479941418,500 - Sim Only,2020-09-01,old number 9989589876 t,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092960619,SMART,9989590112,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A10,,359313100824907,SMART,9992296648,500 - Sim Only,2021-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094113215,SMART,9989585015,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,359115090274187,SMART,9989587845,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090348387,SMART,9988567092,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472094112399,SMART,9988411468,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,358430076062303,SMART,9989588061,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090236194,SMART,9988567067,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090283964,SMART,9989587644,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090271159,SMART,9989566704,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090642466,SMART,9989726571,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 8,,359494080415310,SMART,9989592621,500 - Sim Only,2020-12-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090353924,SMART,9988567088,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,SIM ONLY,SIM ONLY,,,,9209815508,,,,In Stock,Migration,2021-07-13,,SIM ONLY,,PH
,Samsung,Samsung A6,,356472094114114,,,,2018-06-29,unit stll with glenn sanchez,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099097080,,,,,,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung S7 Flat,,358430075305596,,,,,defective,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung J2 Prime,,359063090292918,,,,,,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung A6,,359115090348965,,,,,google locked,In Stock,Migration,2021-07-13,,MOBILE,,PH
,Apple,Iphone 6,,356145092938656,SMART,9989566344,500 - Sim Only,,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091195777,SMART,9985866385,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098494221,,,,2020-09-01,,In Use,Migration,2021-07-13,,MOBILE,,PH
,Samsung,Samsung A6,,359115090788954,SMART,9989594324,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161098158230,SMART,9988567061,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung J2 Prime,,357161099099797,SMART,9189330288,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6 Plus,,356472091177395,SMART,9988567119,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090273478,SMART,9988567152,1000 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Apple,Iphone 6,,356145092895708,SMART,9989587843,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
,Samsung,Samsung A6,,359115090270573,SMART,9989587731,500 - Sim Only,2020-09-01,,In Use,Migration,2021-07-13,ONGOING,MOBILE,,PH
